ENSMUSG00000056763	Cspp1	Gene Expression
ENSMUSG00000102356	1700047N06Rik	Gene Expression
ENSMUSG00000067851	Arfgef1	Gene Expression
ENSMUSG00000088153	Gm26348	Gene Expression
ENSMUSG00000102556	Gm37569	Gene Expression
ENSMUSG00000042501	Cpa6	Gene Expression
ENSMUSG00000103810	Gm38005	Gene Expression
ENSMUSG00000083422	Gm15604	Gene Expression
ENSMUSG00000094979	Gm25253	Gene Expression
ENSMUSG00000081417	Gm15603	Gene Expression
ENSMUSG00000103448	Gm37133	Gene Expression
ENSMUSG00000100212	Gm5522	Gene Expression
ENSMUSG00000100648	Gm28659	Gene Expression
ENSMUSG00000088585	Gm22963	Gene Expression
ENSMUSG00000048960	Prex2	Gene Expression
ENSMUSG00000077318	Gm24173	Gene Expression
ENSMUSG00000101827	Gm28686	Gene Expression
ENSMUSG00000103494	Gm37410	Gene Expression
ENSMUSG00000057715	A830018L16Rik	Gene Expression
ENSMUSG00000103825	Gm38178	Gene Expression
ENSMUSG00000099845	Gm29273	Gene Expression
ENSMUSG00000103561	Gm38069	Gene Expression
ENSMUSG00000101610	Gm7560	Gene Expression
ENSMUSG00000093864	Gm22633	Gene Expression
ENSMUSG00000098555	Mir6341	Gene Expression
ENSMUSG00000097628	Gm2383	Gene Expression
ENSMUSG00000098163	Gm6216	Gene Expression
ENSMUSG00000097171	Gm17644	Gene Expression
ENSMUSG00000101314	Gm29663	Gene Expression
ENSMUSG00000016918	Sulf1	Gene Expression
ENSMUSG00000025938	Slco5a1	Gene Expression
ENSMUSG00000104518	Gm37162	Gene Expression
ENSMUSG00000069620	Gm5250	Gene Expression
ENSMUSG00000099498	Gm29283	Gene Expression
ENSMUSG00000042414	Prdm14	Gene Expression
ENSMUSG00000005886	Ncoa2	Gene Expression
ENSMUSG00000103506	Gm38376	Gene Expression
ENSMUSG00000103495	Gm37409	Gene Expression
ENSMUSG00000099183	Gm27881	Gene Expression
ENSMUSG00000102639	Gm38223	Gene Expression
ENSMUSG00000104170	Gm37702	Gene Expression
ENSMUSG00000087782	Gm23169	Gene Expression
ENSMUSG00000103085	Gm38120	Gene Expression
ENSMUSG00000102664	Gm38380	Gene Expression
ENSMUSG00000101476	Gm29570	Gene Expression
ENSMUSG00000101171	Gm7593	Gene Expression
ENSMUSG00000025935	Tram1	Gene Expression
ENSMUSG00000025937	Lactb2	Gene Expression
ENSMUSG00000102982	Gm38319	Gene Expression
ENSMUSG00000067813	Xkr9	Gene Expression
ENSMUSG00000077368	Gm26273	Gene Expression
ENSMUSG00000097711	Gm5523	Gene Expression
ENSMUSG00000102166	Gm36947	Gene Expression
ENSMUSG00000089358	Gm25491	Gene Expression
ENSMUSG00000104209	Gm37400	Gene Expression
ENSMUSG00000025932	Eya1	Gene Expression
ENSMUSG00000095853	Gm22616	Gene Expression
ENSMUSG00000102588	Gm37444	Gene Expression
ENSMUSG00000054493	Gm9947	Gene Expression
ENSMUSG00000025930	Msc	Gene Expression
ENSMUSG00000103492	Gm37412	Gene Expression
ENSMUSG00000081201	Smt3h2-ps4	Gene Expression
ENSMUSG00000082193	Rpl5-ps1	Gene Expression
ENSMUSG00000032769	Trpa1	Gene Expression
ENSMUSG00000088159	Gm26345	Gene Expression
ENSMUSG00000073737	Gm10566	Gene Expression
ENSMUSG00000092083	Kcnb2	Gene Expression
ENSMUSG00000102937	Gm38116	Gene Expression
ENSMUSG00000104149	Gm37138	Gene Expression
ENSMUSG00000088829	Gm25227	Gene Expression
ENSMUSG00000077377	Gm25168	Gene Expression
ENSMUSG00000101652	Gm6060	Gene Expression
ENSMUSG00000100814	Gm28669	Gene Expression
ENSMUSG00000025925	Terf1	Gene Expression
ENSMUSG00000104379	Gm37509	Gene Expression
ENSMUSG00000032719	Sbspon	Gene Expression
ENSMUSG00000088943	Gm23259	Gene Expression
ENSMUSG00000100652	Gm7634	Gene Expression
ENSMUSG00000067795	4930444P10Rik	Gene Expression
ENSMUSG00000043716	Rpl7	Gene Expression
ENSMUSG00000025921	Rdh10	Gene Expression
ENSMUSG00000104165	Gm38249	Gene Expression
ENSMUSG00000100868	Gm28095	Gene Expression
ENSMUSG00000025920	Stau2	Gene Expression
ENSMUSG00000089982	Gm7568	Gene Expression
ENSMUSG00000025939	Ube2w	Gene Expression
ENSMUSG00000102457	Gm38342	Gene Expression
ENSMUSG00000079658	Eloc	Gene Expression
ENSMUSG00000097744	D030040B21Rik	Gene Expression
ENSMUSG00000100959	Gm7654	Gene Expression
ENSMUSG00000025940	Tmem70	Gene Expression
ENSMUSG00000025779	Ly96	Gene Expression
