,UMI,GENE,sample,methods,tissue
108,10165,4591,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
109,3043,1957,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
110,6875,3593,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
111,3468,2209,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
112,12790,5012,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
113,4707,2752,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
114,5147,2965,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
115,4078,2450,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
116,12249,4997,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
117,8911,4192,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
118,17861,6364,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
119,8067,3968,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
120,3708,2289,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
121,3552,2108,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
122,6932,3457,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
123,11014,4087,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
124,9470,4209,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
125,6925,3507,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
126,29441,7375,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
127,16220,5416,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
128,24975,6952,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
129,3837,2021,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
130,20664,6595,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
131,5695,3035,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
132,16050,5743,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
133,3656,2102,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
134,8935,4217,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
135,4756,2726,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
136,8453,4012,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
137,9800,4417,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
138,5763,3140,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
139,11735,4785,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
140,12584,4925,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
141,26036,7316,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
142,14649,5363,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
143,6069,3222,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
144,9681,4296,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
145,5390,2707,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
146,20722,6282,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
147,13951,5206,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
148,7853,3709,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
149,33102,7698,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
150,21582,6225,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
151,37878,8197,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
152,6650,3237,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
153,30756,7772,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
154,8991,4025,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
155,26338,7204,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
156,6178,3032,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
157,17101,5970,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
158,7996,3937,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
159,14254,5199,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
160,10218,4508,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
161,9681,4420,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
162,6257,3348,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
163,23517,6791,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
164,15839,5708,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
165,28661,7508,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
166,11004,4558,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
167,6840,3412,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
168,6068,3064,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
169,13896,5271,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
170,4347,2359,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
171,24773,6631,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
172,12977,4867,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
173,7403,3523,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
174,30301,7381,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
175,5401,2641,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
176,22001,6412,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
177,30362,7463,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
178,5000,2557,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
179,31142,7805,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
180,9365,4190,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
181,30992,7733,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
182,7775,3630,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
