,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020251,3.1311452,3.089634446173902,3.1731788637531646,2.8021226129016337
ENSMUSG00000020253,3.9238775,4.0061327079788045,4.114310809191683,4.280619328069546
ENSMUSG00000020255,6.1020584,6.28887952680327,6.468386935468425,6.503726272974602
ENSMUSG00000020256,5.4619274,5.669466113595585,5.732900501992137,5.869642977755465
ENSMUSG00000020257,7.5938716,7.665703778786807,7.902845367764519,7.971352114566678
ENSMUSG00000020258,2.0779438,2.9655498685951174,2.6872667386353606,2.679019710563231
ENSMUSG00000020260,6.7487125,6.793927074404904,6.775230564197228,6.7080187241689035
ENSMUSG00000020261,5.09417,5.2440565772825325,5.60255284204299,5.707818204410094
ENSMUSG00000020262,6.073452,6.1792907289809005,6.3033418580394915,6.401898875890568
ENSMUSG00000020263,5.8468046,6.115550917133217,6.069162824556645,6.176089433697108
ENSMUSG00000020265,7.4775786,7.4747606884736895,7.520282192535134,7.576357277184414
ENSMUSG00000020267,9.608461,9.57988620181764,9.601004557756118,9.550351123030394
ENSMUSG00000020268,5.0791626,5.245643966649835,5.174272606352988,5.126341974953677
ENSMUSG00000020271,7.2257495,7.305563461968271,7.574626786100152,7.681458219175701
ENSMUSG00000020272,6.1097775,6.357387837454402,5.947925342993482,5.9760355370846465
ENSMUSG00000020273,5.497731,5.57612178998402,5.708561280466067,5.815163951429363
ENSMUSG00000020275,4.0389977,4.291236188009821,3.9374470280168263,4.330598812965938
ENSMUSG00000020277,6.747294,6.797760901733485,7.010318036906879,6.9417970348586975
ENSMUSG00000020280,5.2278028,5.451768709576276,5.524950914483116,5.683786310566578
ENSMUSG00000020282,4.7484193,4.951279068168446,5.173665933468511,5.277612628065151
ENSMUSG00000020283,5.958825,5.891721683007942,6.243769441339852,6.248252166593767
ENSMUSG00000020284,5.8999825,5.965191709033888,5.983872322407646,6.005463620158511
ENSMUSG00000020287,5.846796,5.857623920012462,6.023255084623737,5.927592145209554
ENSMUSG00000020288,7.066066,7.179406495489319,7.308777998470091,7.433909496945583
ENSMUSG00000020289,5.4052296,5.439856041949257,5.686553193618796,5.767107567626758
ENSMUSG00000020290,7.4822707,7.558266075872255,7.7458819573283435,7.8605640064470395
ENSMUSG00000020295,2.4484246,2.5063494167456395,1.9491656609677857,2.665667042326837
ENSMUSG00000020297,9.061856,9.191268342962445,9.403557193215454,9.494889710505909
ENSMUSG00000020300,7.5146875,7.71636868586297,7.812569765410824,7.67303505838088
ENSMUSG00000020303,2.865388,2.6724131671287767,3.278138795103706,3.31175204245805
ENSMUSG00000020305,5.4548287,5.529002416464779,5.743502201746609,5.965742416861605
