ID,seq_id,type,angle-shun,center_col,center_row,col_x_1,row_y_1,angle_shun1,angle_shun2,col_x_2,row_y_2
Slide19-2,511,Slide,-45,237.4,251.7,95.6,81.3,-45,-1.0,6.0,10.0
T9-18-7-HE,513,ST,-35,517.0,483.2,-184.0,-150.2,-35,-1.0,8.0,8.0
Slide19-4,516,Slide,-103,240.2,245.0,92.8,88.0,-103,1.0,4.0,10.0
T9-18-8-HE,519,ST,65,509.4,470.6,-176.4,-137.6,65,1.0,6.0,10.0
Slide19-5,521,Slide,-105,255.7,247.8,77.3,85.2,-105,-1.0,6.0,0.0
Slide19-6,523,Slide,-120,244.7,244.2,88.3,88.8,-120,-1.0,8.0,6.0
T9-18-9-HE,525,ST,50,581.0,541.3,-248.0,-208.3,50,1.0,6.0,8.0
Slide19-7,527,Slide,55,247.1,263.8,85.9,69.2,55,-1.0,0.0,10.0
Slide19-8,529,Slide,70,254.9,173.9,78.1,159.1,70,3.0,8.0,10.0
T9-19-1-HE,531,ST,70,567.1,450.6,-234.1,-117.6,70,-1.0,8.0,2.0
Slide19-9,533,Slide,140,238.2,245.5,94.8,87.5,140,-1.0,6.0,2.0
Slide19-10,535,Slide,55,243.5,255.0,89.5,78.0,55,1.0,-4.0,4.0
T9-19-2-HE,537,ST,-120,442.7,515.0,-109.7,-182.0,-120,-1.0,2.0,-2.0
Slide20-1,539,Slide,-105,251.6,168.7,81.4,164.3,-105,-1.0,4.0,-4.0
Slide20-2,541,Slide,-140,259.0,241.0,74.0,92.0,-140,-1.0,4.0,-10.0
T9-19-3-HE,543,ST,-90,430.0,527.6,-97.0,-194.6,-90,1.0,8.0,-8.0
Slide20-3,545,Slide,-115,242.2,248.2,90.8,84.8,-115,1.0,-2.0,4.0
T9-19-4-HE,549,ST,-120,389.6,485.2,-56.6,-152.2,-120,-3.0,-4.0,-2.0
Slide20-5,551,Slide,-120,249.7,179.5,83.3,153.5,-120,3.0,2.0,2.0
Slide20-6,553,Slide,-100,242.0,233.0,91.0,100.0,-100,-1.0,-4.0,0.0
T9-19-5-HE,555,ST,160,474.0,453.5,-141.0,-120.5,160,-1.0,8.0,-10.0
Slide20-7,557,Slide,180,201.1,249.0,131.9,84.0,180,3.0,-6.0,10.0
Slide20-8,559,Slide,90,248.5,256.6,84.5,76.4,90,-1.0,-6.0,4.0
T9-19-6-HE,561,ST,-120,386.1,514.2,-53.1,-181.2,-120,-1.0,0.0,-2.0
Slide20-9,563,Slide,-90,248.6,237.8,84.4,95.2,-90,-1.0,6.0,-6.0
Slide20-10,565,Slide,70,252.5,247.6,80.5,85.4,70,1.0,0.0,8.0
T9-19-7-HE,567,ST,-115,437.8,516.7,-104.8,-183.7,-115,1.0,-4.0,6.0
Slide21-1,569,Slide,-110,251.9,249.0,81.1,84.0,-110,-1.0,2.0,2.0
T9-19-8-HE,573,ST,-105,433.0,604.0,-100.0,-271.0,-105,1.0,8.0,10.0
Slide21-2,575,Slide,85,256.4,270.3,76.6,62.7,85,-1.0,-8.0,4.0
Slide21-3,577,Slide,-100,258.5,245.7,74.5,87.3,-100,-1.0,8.0,-4.0
T9-19-9-HE,579,ST,-100,448.0,589.6,-115.0,-256.6,-100,3.0,-4.0,10.0
Slide21-4,581,Slide,-120,256.1,259.7,76.9,73.3,-120,-1.0,-2.0,6.0
T9-20-1-HE,585,ST,-115,470.1,469.5,-137.1,-136.5,-115,-1.0,2.0,2.0
Slide21-6,587,Slide,-115,255.7,248.3,77.3,84.7,-115,-1.0,6.0,-8.0
Slide21-7,589,Slide,-155,265.8,254.3,67.2,78.7,-155,1.0,-2.0,-10.0
T9-20-2-HE,591,ST,70,592.6,458.6,-259.6,-125.6,70,-1.0,2.0,-6.0
Slide21-8,593,Slide,-90,245.3,249.9,87.7,83.1,-90,1.0,4.0,4.0
Slide21-9,595,Slide,-110,252.0,243.8,81.0,89.2,-110,1.0,-8.0,8.0
T9-20-3-HE,597,ST,-115,444.0,540.4,-111.0,-207.4,-115,1.0,-10.0,10.0
Slide21-10,599,Slide,70,250.2,253.9,82.8,79.1,70,-1.0,2.0,6.0
Slide22-1,601,Slide,-115,269.1,308.1,63.9,24.9,-115,1.0,-6.0,10.0
Slide22-2,607,Slide,-100,255.2,253.5,77.8,79.5,-100,-1.0,8.0,8.0
Slide22-3,609,Slide,-105,258.5,252.4,74.5,80.6,-105,-1.0,4.0,-2.0
T9-20-6-HE,611,ST,-155,463.6,510.9,-130.6,-177.9,-155,-1.0,8.0,-8.0
Slide22-4,613,Slide,-60,252.3,245.6,80.7,87.4,-60,1.0,-2.0,-4.0
Slide22-5,615,Slide,-82,258.3,238.1,74.7,94.9,-82,-1.0,8.0,-4.0
T9-20-7-HE,617,ST,-120,404.5,434.7,-71.5,-101.7,-120,1.0,-2.0,4.0
Slide22-6,619,Slide,-120,252.0,254.0,81.0,79.0,-120,-1.0,4.0,-2.0
Slide22-7,621,Slide,-110,244.0,252.2,89.0,80.8,-110,1.0,0.0,6.0
T9-20-8-HE,623,ST,-140,420.0,462.0,-87.0,-129.0,-140,1.0,-6.0,8.0
Slide22-8,625,Slide,-120,273.4,256.0,59.6,77.0,-120,-1.0,2.0,0.0
Slide22-9,627,Slide,-100,249.2,252.1,83.8,80.9,-100,1.0,4.0,10.0
T9-20-9-HE,629,ST,-95,388.9,570.7,-55.9,-237.7,-95,-1.0,-4.0,-10.0
Slide22-10,631,Slide,90,229.4,272.5,103.6,60.5,90,1.0,-8.0,0.0
